Framenum, Queue Density, Dynamic Density
2186, 0.0871763, 0.0782808
2189, 0.0688053, 0.0682684
2192, 0.0450812, 0.0533654
2195, 0.036123, 0.0420598
2198, 0.0325843, 0.0289281
2201, 0.0222193, 0.0125713
2204, 0.0140095, 0.00107765
2207, 0.00925998, 0
2210, 0.00974983, 0
2213, 0.00920904, 0.000626999
2216, 0.00918553, 0.000595649
2219, 0.00904054, 0
2222, 0.00900527, 0
2225, 0.00949511, 0
2228, 0.00939322, 0.00168506
2231, 0.0102828, 0.00344457
2234, 0.00957348, 0.00315067
2237, 0.00983212, 0.000732805
2240, 0.0105218, 0.00371889
2243, 0.00984388, 0.00478478
2246, 0.0102475, 0.00470641
2249, 0.0105375, 0.00320553
2252, 0.0106903, 0.00621904
2255, 0.0128535, 0.00693617
2258, 0.0118268, 0.00791978
2261, 0.0110979, 0.00385996
2264, 0.0115642, 0.00816274
2267, 0.0238534, 0.0300215
2270, 0.0340656, 0.0492899
2273, 0.0424909, 0.0729317
2276, 0.0505361, 0.0799227
2279, 0.0593689, 0.0943163
2282, 0.0649492, 0.101546
2285, 0.069252, 0.100418
2288, 0.0800599, 0.109376
2291, 0.0924901, 0.115634
2294, 0.0985994, 0.122923
2297, 0.104599, 0.134523
2300, 0.119913, 0.158356
2303, 0.132022, 0.155362
2306, 0.137642, 0.144817
2309, 0.119894, 0.13571
2312, 0.0978588, 0.126097
2315, 0.0803028, 0.113087
2318, 0.0660112, 0.103804
2321, 0.0654038, 0.0888888
2324, 0.0607718, 0.0813962
2327, 0.0545097, 0.0792879
2330, 0.0537338, 0.0791115
2333, 0.0512806, 0.0666656
2336, 0.044799, 0.0582913
2339, 0.0446619, 0.0552229
2342, 0.0385251, 0.0460295
2345, 0.0301273, 0.0303859
2348, 0.0251857, 0.0249075
2351, 0.022184, 0.0233792
2354, 0.0177401, 0.0191391
2357, 0.0185121, 0.0223603
2360, 0.0224113, 0.0308601
2363, 0.0298686, 0.0403043
2366, 0.0357585, 0.0488824
2369, 0.0367382, 0.0492743
2372, 0.035398, 0.0449636
2375, 0.0336306, 0.0426124
2378, 0.0290653, 0.0366324
2381, 0.0220978, 0.0237868
2384, 0.031781, 0.0474246
2387, 0.0548389, 0.0671711
2390, 0.069299, 0.0863769
2393, 0.0762665, 0.0953586
2396, 0.0821917, 0.100625
2399, 0.0858753, 0.102957
2402, 0.0889162, 0.101092
2405, 0.0870901, 0.106711
2408, 0.0993166, 0.112824
2411, 0.0837121, 0.0921923
2414, 0.0744678, 0.079425
2417, 0.0645534, 0.0501834
2420, 0.0399555, 0.0251074
2423, 0.0198014, 0.0017987
2426, 0.00974591, 0.00552934
2429, 0.0159023, 0.0130102
2432, 0.0209104, 0.02903
2435, 0.0368479, 0.0466369
2438, 0.0423224, 0.0521036
2441, 0.0432747, 0.0542236
2444, 0.0454221, 0.056712
2447, 0.0479301, 0.0596315
2450, 0.0508966, 0.0662542
2453, 0.0526914, 0.0702199
2456, 0.0591612, 0.0750909
2459, 0.0698868, 0.0692912
2462, 0.0537142, 0.0637422
2465, 0.0425967, 0.0505087
2468, 0.0341087, 0.0358878
2471, 0.0251348, 0.0182496
2474, 0.0145111, 0.00348376
2477, 0.0154242, 0.0124812
2480, 0.0173796, 0.0164626
2483, 0.021028, 0.0209849
2486, 0.0237907, 0.0254013
2489, 0.0259264, 0.0276467
2492, 0.0279132, 0.0312598
2495, 0.0298765, 0.0352334
2498, 0.0337756, 0.0371105
2501, 0.0368127, 0.0407588
2504, 0.0368009, 0.0370321
2507, 0.0314988, 0.0370086
2510, 0.0402063, 0.0465233
2513, 0.0502931, 0.0625745
2516, 0.0566493, 0.07118
2519, 0.0623237, 0.0791155
2522, 0.0702003, 0.0882932
2525, 0.0768308, 0.0974748
2528, 0.085887, 0.109019
2531, 0.0946885, 0.122363
2534, 0.102013, 0.126505
2537, 0.0985446, 0.129992
2540, 0.111034, 0.141807
2543, 0.116626, 0.150009
2546, 0.108255, 0.135878
2549, 0.096644, 0.106194
2552, 0.0843431, 0.0802127
2555, 0.0614694, 0.0501364
2558, 0.0397478, 0.034724
2561, 0.0241081, 0.0139821
2564, 0.0194017, 0.0110391
2567, 0.0158356, 0.00781005
2570, 0.0124263, 0.00326823
2573, 0.0109568, 0
2576, 0.0112037, 0
2579, 0.0114075, 0
2582, 0.0113722, 0.000564299
2585, 0.0113761, 0.000587811
2588, 0.0109137, 0
2591, 0.0113448, 0
2594, 0.0115407, 0
2597, 0.0115407, 0
2600, 0.0117954, 0
2603, 0.0118424, 0
2606, 0.0119326, 0.000564299
2609, 0.0122226, 0
2612, 0.0119169, 0.00167722
2615, 0.0116191, 0
2618, 0.0114976, 0
2621, 0.0116739, 0.00130494
2624, 0.013359, 0.00802166
2627, 0.0265338, 0.0238847
2630, 0.0350453, 0.0367147
2633, 0.0395636, 0.0417072
2636, 0.0422832, 0.053722
2639, 0.0592592, 0.0800951
2642, 0.0832889, 0.118072
2645, 0.105493, 0.15037
2648, 0.122798, 0.182605
2651, 0.139668, 0.195706
2654, 0.156193, 0.212325
2657, 0.178695, 0.232244
2660, 0.186383, 0.234278
2663, 0.179184, 0.240619
2666, 0.172064, 0.233706
2669, 0.176951, 0.233388
2672, 0.184698, 0.212745
2675, 0.179474, 0.199096
2678, 0.156765, 0.183115
2681, 0.145961, 0.173228
2684, 0.14633, 0.148708
2687, 0.124189, 0.125991
2690, 0.113146, 0.107797
2693, 0.0931955, 0.0794211
2696, 0.0691893, 0.0573664
2699, 0.0549643, 0.0406726
2702, 0.0462137, 0.040218
2705, 0.0453477, 0.0404884
2708, 0.0474481, 0.0405355
2711, 0.0464919, 0.0391325
2714, 0.0489333, 0.0408646
2717, 0.0533066, 0.0414681
